id,chall_neg,chall_pos,crit_neg,crit_pos,challange_d,crit_d,gender_1,age_1,iqms_avg,crms_avg,chms_avg,fms_avg,fsc_avg,crsc_avg,challengescenario_1
91fdb302-67e0-498e-96ee-2608d90ff0da,3.6743973502086793,3.8095977274863873,3.718112693084018,3.9973167263910323,-0.13520037727770795,-0.2792040333070145,1,21,5,4,4,4,5,4.5,2
088c8443-2f24-4f84-8575-c95433678c6e,4.609485349478873,4.574894210910463,4.361371596429547,4.362473648633319,0.034591138568409896,-0.0011020522037723524,1,23,5,3,4.25,3.25,3.5,4,1
f93566cb-f4ae-4adf-933c-8854495e817e,4.182799336717576,3.9292743266805434,4.242636659560618,3.8503188484052955,0.2535250100370323,0.39231781115532227,1,21,5,4.5,4.25,4.25,4.5,3.5,1
d592b2e5-5b63-414d-a88f-0f9ab879ac04,4.7423723930661765,4.78978809674926,4.282740915738316,4.209667548913537,-0.04741570368308334,0.0730733668247785,2,21,5,4,5.25,4,2,3.5,1
1359c0fc-b631-4301-8305-a7eb10f7da4a,4.227874896000946,4.551265548125097,4.242301647520134,3.69545677214107,-0.32339065212415097,0.546844875379064,2,21,6,4.75,4.5,4.5,3.5,4,2
a087b696-f2a3-4b61-a1af-90fdb9e6be3d,4.42266322025474,4.814058539556677,3.972962077886479,4.399362658007804,-0.39139531930193705,-0.42640058012132487,1,20,6,4.75,5.75,3.75,4,4.5,1
cbe70097-40a1-4b8d-ae6d-0ac742cdfec3,4.642657397392539,4.729287565036345,4.543276416523202,5.111891154824275,-0.08663016764380593,-0.5686147383010729,1,23,5,5,5,5.5,4.5,4,1
34cd9552-b798-4bc1-bf79-b7a7a09ab8f1,3.965487918241848,3.6185631247588446,3.7597059690125336,3.6939852932175055,0.3469247934830033,0.06572067579502816,2,20,4.5,5,4.75,4.75,3,3.5,1
83482a1b-0eb0-4ac5-86cf-f96653f7bcb1,5.686842098601946,5.873483985045529,5.98442562508516,5.769718705762282,-0.18664188644358326,0.21470691932287878,2,19,5.5,5.25,4.75,5,4,4.5,1
d04ff7ea-e4d2-4c86-9ce5-95888d637b43,5.524659104848455,5.5957327187378425,5.900317230644086,6.067494430727449,-0.07107361388938749,-0.1671772000833629,1,29,5.5,3.75,4.25,3.5,3.5,2.5,2
4cdc1f7f-ecb0-4276-9511-686b93038b56,5.004431185504286,4.742309458861783,4.801805387603131,4.304477577240775,0.2621217266425031,0.4973278103623562,1,20,4.5,4.25,4.5,4.25,3,3,1
b933997d-9891-42e7-a87f-3f6b2afe6125,3.9771063703891913,4.196211190473015,3.5095584502137944,3.6375150658199065,-0.2191048200838237,-0.12795661560611205,2,24,3,4,4,3.5,4.5,4.5,1
5c250bb5-4c57-4f0a-ad15-b46197b5e858,4.671300708527316,4.776966874059046,4.583134617652943,4.641275525207119,-0.10566616553172992,-0.05814090755417567,1,20,5.5,4.5,5.25,5.25,4,4,1
6b7a29b5-ffbb-4b28-81e2-6061954b960a,5.5511695184868355,5.707743349063507,5.233300615866068,5.804907972315829,-0.1565738305766713,-0.5716073564497606,1,19,5,4.25,4.25,3.5,2.5,4,1
